Smiles,smiles,score,comment,DrugLikenessReward,DockingScoreReward,LogPReward,HeavyAtomCountReward,NumHAcceptorsReward,NumHDonorsReward,PAINSReward,SureChEMBLReward,GlaxoReward,Reward,DrugLikenessProperty,DockingScoreProperty,LogPProperty,HeavyAtomCountProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,SureChEMBLProperty,GlaxoProperty,Epoch
NC(=O)Nc1cc(-c2cc(-c3ccc4c(c3)OCCO4)ccc2-c2ccc3c(c2)OCCO3)no1,NC(=O)Nc1cc(-c2cc(-c3ccc4c(c3)OCCO4)ccc2-c2ccc3c(c2)OCCO3)no1,0.3,"Presence of a nitro group (toxicophore), high molecular complexity, and multiple ester-like fragments raise safety and synthetic concerns despite a reasonable aromatic core.",3.0,10.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.8,0.3,-10.8,4.708600000000003,35,7,2,0,0,0,40
c1cc2ccc(-c3cc(-c4nnco4)ccc3-c3nnc(-c4nnco4)o3)cc2[nH]1,c1cc2ccc(-c3cc(-c4nnco4)ccc3-c3nnc(-c4nnco4)o3)cc2[nH]1,0.3,"Multiple reactive nitroso groups (-nnco) and high synthetic complexity with fused aromatic systems pose significant instability and toxicity risks, though the core scaffold shows some drug-like aromatic features.",3.0,9.7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.7,0.3,-9.7,3.9849000000000014,30,9,1,0,0,0,40
CC(C=O)Oc1nnc(-c2ccc(-c3nnc(-c4ccc5cc[nH]c5c4)o3)cc2)o1,CC(C=O)Oc1nnc(-c2ccc(-c3nnc(-c4ccc5cc[nH]c5c4)o3)cc2)o1,0.3,"Multiple nitrone-like (nnc) groups, complex fused aromatic systems, and potential reactivity/toxicity risks from nitroso/nitro analogs; high synthetic complexity and poor physicochemical profile likely limit developability.",3.0,10.2,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,12.2,0.3,-10.2,3.9011000000000022,30,8,1,0,1,0,40
c1cc2ccc(C3CCNCC3c3ccc(-c4nnc(-c5nnco5)o4)cc3)cc2[nH]1,c1cc2ccc(C3CCNCC3c3ccc(-c4nnc(-c5nnco5)o4)cc3)cc2[nH]1,0.3,"Contains multiple nitroso/nitro groups and a potentially unstable nitrone core, raising concerns about reactivity, toxicity, and synthetic complexity.",3.0,8.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11.3,0.3,-8.3,4.128600000000001,31,7,2,0,0,0,40
O=C1CCC(c2nnc(-c3ccc(-c4cccc5cccnc45)cc3-c3nnco3)o2)N1,O=C1CCC(c2nnc(-c3ccc(-c4cccc5cccnc45)cc3-c3nnco3)o2)N1,0.3,"Multiple structural alerts (nitroso groups, hydrazine-like fragments) and high synthetic complexity with potential instability and toxicity risks.",3.0,10.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.3,0.3,-10.3,3.952900000000003,32,8,1,0,0,0,40
NC(=O)Nc1ccc(-c2ccc3cc[nH]c3c2)cc1-c1nnc(C2CCC(=O)N2)o1,NC(=O)Nc1ccc(-c2ccc3cc[nH]c3c2)cc1-c1nnc(C2CCC(=O)N2)o1,0.3,"Contains a nitroso group (nnc...o1), complex fused ring systems, and multiple heteroatoms, raising concerns about synthetic complexity, potential toxicity, and poor physicochemical properties.",3.0,10.7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.7,0.3,-10.7,3.326600000000001,30,5,4,0,0,0,40
c1cc2ccc(-c3ccc(-c4nnc(-c5nnco5)o4)c(-c4nnco4)c3)cc2[nH]1,c1cc2ccc(-c3ccc(-c4nnc(-c5nnco5)o4)c(-c4nnco4)c3)cc2[nH]1,0.3,Multiple nitroso groups and high synthetic complexity with potential reactivity and toxicity liabilities.,3.0,11.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.2,0.3,-11.2,3.9849000000000014,30,9,1,0,0,0,40
NC(=O)Nc1ccc(-c2cc(-c3nnc(-c4ccc5c(c4)OCCO5)o3)no2)cc1,NC(=O)Nc1ccc(-c2cc(-c3nnc(-c4ccc5c(c4)OCCO5)o3)no2)cc1,0.3,"Presence of nitro group (-NO2) and complex aromatic substituents raises toxicity and synthetic complexity concerns, with potential solubility and metabolic stability liabilities.",3.0,10.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.2,0.3,-10.2,3.320400000000002,30,8,2,0,0,0,40
c1cc2ccc(-c3ccc(-c4nnc(-c5nnc(-c6nnco6)o5)o4)cc3)cc2[nH]1,c1cc2ccc(-c3ccc(-c4nnc(-c5nnc(-c6nnco6)o5)o4)cc3)cc2[nH]1,0.3,"Multiple reactive/nitroso groups, high synthetic complexity, and potential toxicity liabilities severely limit developability despite a fused aromatic scaffold.",3.0,8.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11.6,0.3,-8.6,3.9849000000000023,30,9,1,0,0,0,40
O=C1CCCN1c1nnc(-c2nnc(-c3ccccc3-c3ccc4cc[nH]c4c3)o2)o1,O=C1CCCN1c1nnc(-c2nnc(-c3ccccc3-c3ccc4cc[nH]c4c3)o2)o1,0.35,"Multiple nitrile groups and complex aromatic scaffolds raise concerns about reactivity, toxicity, and poor physicochemical properties.",3.5,10.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.0,0.35,-10.5,4.061700000000003,31,7,1,0,0,0,40
