Smiles,smiles,score,comment,DrugLikenessReward,DockingScoreReward,LogPReward,HeavyAtomCountReward,NumHAcceptorsReward,NumHDonorsReward,PAINSReward,SureChEMBLReward,GlaxoReward,Reward,DrugLikenessProperty,DockingScoreProperty,LogPProperty,HeavyAtomCountProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,SureChEMBLProperty,GlaxoProperty,Epoch
Cc1cccc(-c2ccc(C)c(C(C)F)c2)c1,Cc1cccc(-c2ccc(C)c(C(C)F)c2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but the presence of a fluorinated side chain may raise concerns about metabolic stability and synthetic complexity.",7.5,6.9,-0.0009400000000034936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.399059999999997,0.75,-6.9,5.0009400000000035,17,0,0,0,0,0,50
Cc1cccc(-c2ccc(C)cc2C2CCCC2)c1,Cc1cccc(-c2ccc(C)cc2C2CCCC2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but its lipophilicity and molecular weight may pose challenges for oral bioavailability and solubility.",7.5,8.1,-0.6280400000000039,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.971959999999996,0.75,-8.1,5.628040000000004,19,0,0,0,0,0,50
Cc1cccc(-c2ccc(C(C)F)c(C)c2)c1,Cc1cccc(-c2ccc(C(C)F)c(C)c2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but the presence of a fluorinated side chain may raise concerns about metabolic stability and synthetic complexity.",7.5,7.3,-0.0009400000000034936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.799059999999997,0.75,-7.3,5.0009400000000035,17,0,0,0,0,0,50
CC(F)Cc1ccc(C2CCCC2)c(N2CCCCC2)c1,CC(F)Cc1ccc(C2CCCC2)c(N2CCCCC2)c1,0.75,"The molecule has a reasonable scaffold with a piperidine and aromatic ring, but the presence of a fluorine and multiple aliphatic chains may impact solubility and metabolic stability.",7.5,6.3,-0.23500000000000565,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.564999999999994,0.75,-6.3,5.235000000000006,21,1,0,0,0,0,50
Clc1cccc(-c2ccc(C=CC3CCCC3)cc2C2CCCCC2)c1,Clc1cccc(-c2ccc(C=CC3CCCC3)cc2C2CCCCC2)c1,0.65,"The molecule contains a chlorine atom and multiple aliphatic rings, which may contribute to lipophilicity and synthetic complexity, but lacks obvious reactive groups or toxicophores, suggesting moderate developability with potential for optimization.",6.5,5.1,-3.258100000000004,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,7.341899999999995,0.65,-5.1,8.258100000000004,26,0,0,0,1,0,50
Cc1cccc(-c2cc(C3CCCC3)ccc2C)c1,Cc1cccc(-c2cc(C3CCCC3)ccc2C)c1,0.85,"The molecule has a reasonable scaffold with a cyclohexane ring and aromatic system, but the presence of a methyl group on the aromatic ring may slightly impact lipophilicity and metabolic stability.",8.5,7.5,-0.6280400000000048,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15.371959999999994,0.85,-7.5,5.628040000000005,19,0,0,0,0,0,50
Cc1cccc(-c2ccc(C)c(-c3ccccc3)c2)c1,Cc1cccc(-c2ccc(C)c(-c3ccccc3)c2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but its lipophilicity and molecular weight may pose challenges for oral bioavailability and solubility.",7.5,8.0,-0.6374400000000042,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.862559999999995,0.75,-8.0,5.637440000000004,20,0,0,0,0,0,50
CC(F)Cc1ccc(C2CCCCC2)cc1C1CCCC1,CC(F)Cc1ccc(C2CCCCC2)cc1C1CCCC1,0.85,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but the presence of multiple cycloalkanes may impact solubility and oral bioavailability.",8.5,7.6,-1.292400000000005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.807599999999997,0.85,-7.6,6.292400000000005,21,0,0,0,0,0,50
Cc1cccc(-c2cccc(-c3cccc(C)c3)c2)c1,Cc1cccc(-c2cccc(-c3cccc(C)c3)c2)c1,0.65,"The molecule contains multiple aromatic rings and a branched structure, which may contribute to poor solubility and permeability, though it lacks obvious reactive groups or toxicophores.",6.5,7.6,-0.6374400000000042,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.462559999999996,0.65,-7.6,5.637440000000004,20,0,0,0,0,0,50
C=CCOc1cc(C2CCCC(c3ccoc3)C2C)ccc1-c1ccoc1,C=CCOc1cc(C2CCCC(c3ccoc3)C2C)ccc1-c1ccoc1,0.45,"The molecule contains multiple oxygen-containing rings and a complex branching structure, which may lead to poor solubility, metabolic instability, and synthetic complexity.",4.5,7.4,-1.7918000000000065,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,9.108199999999993,0.45,-7.4,6.7918000000000065,27,3,0,0,1,0,50
Cc1cccc(-c2cccc(Cc3ccccc3)c2)c1,Cc1cccc(-c2cccc(Cc3ccccc3)c2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but its high molecular weight and lipophilicity may limit oral bioavailability and solubility.",7.5,7.3,-0.25282000000000426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.547179999999997,0.75,-7.3,5.252820000000004,20,0,0,0,0,0,50
COCCc1cccc(-c2ccc(C3CCCC3)cc2C)c1,COCCc1cccc(-c2ccc(C3CCCC3)cc2C)c1,0.75,"The molecule has a reasonable scaffold with a benzene ring and cyclohexane group, but the presence of an ether (O) and potential for lipophilicity may raise concerns about solubility and metabolic stability.",7.5,7.0,-0.5085200000000052,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.991479999999996,0.75,-7.0,5.508520000000005,22,1,0,0,0,0,50
Cc1cccc(-c2cc(C)ccc2-c2cccc(Cl)c2)c1,Cc1cccc(-c2cc(C)ccc2-c2cccc(Cl)c2)c1,0.65,"The molecule contains a chlorine atom and multiple aromatic rings, which may contribute to some physicochemical liabilities, but no major reactive groups or toxicophores are evident.",6.5,8.2,-1.2908400000000047,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.409159999999995,0.65,-8.2,6.290840000000005,21,0,0,0,0,0,50
Cc1ccc(-c2cccc(C(C)(C)Oc3ccccc3)c2)cc1,Cc1ccc(-c2cccc(C(C)(C)Oc3ccccc3)c2)cc1,0.65,"The molecule contains a potential reactive or unstable acetal group (C(C)(C)O) and has a complex aromatic system, which may impact synthetic tractability and oral bioavailability.",6.5,7.2,-0.9761200000000052,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.723879999999994,0.65,-7.2,5.976120000000005,23,1,0,0,0,0,50
Cc1cccc(-c2cccc(Cc3ccccc3)c2)c1,Cc1cccc(-c2cccc(Cc3ccccc3)c2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but its high molecular weight and lipophilicity may limit oral bioavailability and solubility.",7.5,7.3,-0.25282000000000426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.547179999999997,0.75,-7.3,5.252820000000004,20,0,0,0,0,0,50
Cc1cccc(-c2ccc(C)c(C(C)F)c2)c1,Cc1cccc(-c2ccc(C)c(C(C)F)c2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but the presence of a fluorinated side chain may raise concerns about metabolic stability and synthetic complexity.",7.5,6.9,-0.0009400000000034936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.399059999999997,0.75,-6.9,5.0009400000000035,17,0,0,0,0,0,50
Cc1cccc(-c2cccc(Cc3ccccc3)c2)c1,Cc1cccc(-c2cccc(Cc3ccccc3)c2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but its high molecular weight and lipophilicity may limit oral bioavailability and solubility.",7.5,7.3,-0.25282000000000426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.547179999999997,0.75,-7.3,5.252820000000004,20,0,0,0,0,0,50
Cc1cccc(-c2cccc(Cc3ccccc3)c2)c1,Cc1cccc(-c2cccc(Cc3ccccc3)c2)c1,0.75,"The molecule has a reasonable scaffold with no obvious reactive groups or toxicophores, but its high molecular weight and lipophilicity may limit oral bioavailability and solubility.",7.5,7.3,-0.25282000000000426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.547179999999997,0.75,-7.3,5.252820000000004,20,0,0,0,0,0,50
Cc1cccc(-c2ccc(C)c(C)c2)c1,Cc1cccc(-c2ccc(C)c(C)c2)c1,0.85,"The molecule has a simple aromatic structure with no obvious reactive groups or toxicophores, but its low molecular complexity and lack of polar groups may limit oral bioavailability and solubility.",8.5,6.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15.3,0.85,-6.8,4.278860000000003,15,0,0,0,0,0,50
