experiment_id,batch_index,model_family,model,representation,scale,scale_min,scale_max,molecule_id,name,status,status_reason,smiles,iupac,score,comment
qwen_smiles_0_1,1,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0001,SULFASALAZINE,good,good,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,2-hydroxy-5-[[4-(pyridin-2-ylsulfamoyl)phenyl]diazenyl]benzoic acid,0.5,"Sulfasalazine contains a sulfonamide (potential nephrotoxicity) and a diazo group (reactive/unstable), which are significant liabilities despite being an approved drug."
qwen_smiles_0_1,2,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0002,PHENOBARBITAL,ambiguous,addiction,O=C1NC(=O)NC(=O)C1(c2ccccc2)CC,"5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",0.3,"Barbiturate core raises significant safety concerns (neurotoxicity, abuse potential) and poor oral developability due to high lipophilicity and narrow therapeutic index."
qwen_smiles_0_1,3,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0003,ROSUVASTATIN,good,good,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,"(E,3R,5S)-7-[4-(4-fluorophenyl)-2-[methyl(methylsulfonyl)amino]-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid",0.95,"Highly drug-like with no major red flags; fluorine substitution and lactam core are well-tolerated in approved statins, though fluorine may raise minor solubility concerns."
qwen_smiles_0_1,4,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0004,MIDOMAFETAMINE,ambiguous,addiction,CNC(C)Cc1ccc2c(c1)OCO2,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine",0.2,"Structural alert for amphetamine-like core raises significant abuse potential and safety concerns, outweighing basic physicochemical properties."
qwen_smiles_0_1,5,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0005,DIETHYL SULFATE,bad,bad extreme,CCOS(=O)(=O)OCC,diethyl sulfate,0.2,"Sulfate ester group raises concerns for reactivity, hydrolytic instability, and potential toxicity as a known electrophilic warhead."
qwen_smiles_0_1,6,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0006,HALOPERIDOL,ambiguous,side effects,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,0.9,"Haloperidol is a known drug with no major developability red flags, though its tertiary amine and lipophilicity may impact solubility/metabolism."
qwen_smiles_0_1,7,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0007,FAMCICLOVIR,good,good,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,[2-(acetyloxymethyl)-4-(2-aminopurin-9-yl)butyl] acetate,0.95,FAMCICLOVIR shows no major developability concerns; its ester groups and purine core are well-tolerated in clinical use as an antiviral prodrug.
qwen_smiles_0_1,8,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0008,AMPHETAMINE,ambiguous,addiction,CC(N)Cc1ccccc1,1-phenylpropan-2-amine,0.2,"Amphetamine contains a primary amine group and a phenyl ring, raising significant safety concerns due to its psychoactive properties, potential for abuse, and known controlled substance status."
qwen_smiles_0_1,9,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0009,TAMOXIFEN,ambiguous,side effects,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,"2-[4-[(Z)-1,2-diphenylbut-1-enyl]phenoxy]-N,N-dimethylethanamine",0.7,"TAMOXIFEN contains a reactive ethylene oxide group and known estrogenic activity, which may pose toxicity risks, but its established clinical use suggests acceptable developability despite these liabilities."
qwen_smiles_0_1,10,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0010,CEPHALEXIN,good,good,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1.O,"(6R,7R)-7-[[(2R)-2-amino-2-phenylacetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",0.85,"Cephalexin contains a beta-lactam ring (reactive/instable group) and sulfonamide moiety (potential toxicophore), but is a well-established oral antibiotic with acceptable physicochemical properties and clinical validation."
