Smiles,smiles,score,comment,DrugLikenessReward,DockingScoreReward,LogPReward,HeavyAtomCountReward,NumHAcceptorsReward,NumHDonorsReward,PAINSReward,SureChEMBLReward,GlaxoReward,Reward,DrugLikenessProperty,DockingScoreProperty,LogPProperty,HeavyAtomCountProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,SureChEMBLProperty,GlaxoProperty,Epoch
Nc1ccc(-c2ccc3c(c2)OCO3)cc1Cc1nnco1,Nc1ccc(-c2ccc3c(c2)OCO3)cc1Cc1nnco1,0.45,"The molecule contains a nitrile group (nnco) and a potential reactive or unstable group, along with a complex aromatic system that may impact oral bioavailability and synthetic tractability.",4.5,8.1,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,11.6,0.45,-8.1,2.638300000000001,22,6,1,0,1,0,50
NOc1cc(-c2ccoc2)ccc1-c1ccc2c(c1)OCO2,NOc1cc(-c2ccoc2)ccc1-c1ccc2c(c1)OCO2,0.55,"The molecule contains a nitro group and multiple oxygen-rich rings, which may raise concerns about reactivity, solubility, and potential toxicity, though the core scaffold shows some structural complexity that could be exploitable.",5.5,7.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.8,0.55,-7.3,3.594800000000002,22,5,1,0,0,0,50
NC(=O)c1nnc(-c2cccc(Oc3ccc4c(c3)OCO4)c2)o1,NC(=O)c1nnc(-c2cccc(Oc3ccc4c(c3)OCO4)c2)o1,0.45,"The molecule contains a nitrile oxide and multiple oxygen-containing heterocycles, raising concerns about reactivity, stability, and potential toxicity, though the core scaffold shows some drug-like features.",4.5,7.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.0,0.45,-7.5,2.3565000000000005,24,7,1,0,0,0,50
c1ccc(-c2ccc3c(c2)OCO3)c(NNc2nnc(-c3nnco3)o2)c1,c1ccc(-c2ccc3c(c2)OCO3)c(NNc2nnc(-c3nnco3)o2)c1,0.35,"The molecule contains multiple reactive or potentially toxic groups, including nitroso and azo moieties, along with a complex heterocyclic structure that may lead to poor solubility, stability, and metabolic liability.",3.5,7.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11.0,0.35,-7.5,2.9543,27,10,2,0,0,0,50
NNc1cc(-c2nnc(-c3ccccc3-c3ccc4c(c3)OCO4)o2)no1,NNc1cc(-c2nnc(-c3ccccc3-c3ccc4c(c3)OCO4)o2)no1,0.45,"The molecule contains multiple reactive or potentially toxic groups, including nitrile, nitroso, and oxygen-containing heterocycles, which raise concerns about stability, synthetic complexity, and safety.",4.5,8.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.8,0.45,-8.3,3.0729000000000015,27,9,2,0,0,0,50
Cc1ccc(-c2nnc(-c3nnco3)o2)c(-c2cccc3c2OCO3)c1,Cc1ccc(-c2nnc(-c3nnco3)o2)c(-c2cccc3c2OCO3)c1,0.45,"The molecule contains multiple reactive or potentially unstable groups (e.g., nitrile oxides, nitroso groups) and a complex scaffold, raising concerns about synthetic feasibility and safety.",4.5,7.7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.2,0.45,-7.7,3.4907200000000023,26,8,0,0,0,0,50
c1ccc(-c2nnc(NNc3ccon3)o2)c(-c2ccc3c(c2)OCO3)c1,c1ccc(-c2nnc(NNc3ccon3)o2)c(-c2ccc3c(c2)OCO3)c1,0.45,"The molecule contains multiple nitrogen-rich heterocycles and potential reactive groups, raising concerns about stability, synthetic complexity, and possible toxicity.",4.5,8.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.3,0.45,-8.8,3.5593000000000004,27,9,2,0,0,0,50
FC(Cc1nnco1)c1cc(-c2nnco2)ccc1-c1ccc2c(c1)OCO2,FC(Cc1nnco1)c1cc(-c2nnco2)ccc1-c1ccc2c(c1)OCO2,0.45,"The molecule contains multiple aziridine-like structures (nnco) which are structural alerts for reactivity and toxicity, along with a complex fused ring system that may hinder oral bioavailability and synthetic tractability.",4.5,8.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.1,0.45,-8.6,3.768600000000002,28,8,0,0,0,0,50
Nc1ccnc(-c2cc(-c3nnco3)ccc2O)c1,Nc1ccnc(-c2cc(-c3nnco3)ccc2O)c1,0.45,"Contains a nitroso group (nnco) which is a structural alert for toxicity and potential instability, along with a complex aromatic system that may hinder oral bioavailability and synthetic tractability.",4.5,7.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11.8,0.45,-7.3,2.0863999999999994,19,6,2,0,0,0,50
c1cc(NNOc2ccc(-c3ccc4c(c3)OCO4)cc2)no1,c1cc(NNOc2ccc(-c3ccc4c(c3)OCO4)cc2)no1,0.35,"The molecule contains multiple reactive or potentially unstable groups (e.g., NNO, OCO), structural complexity, and poor physicochemical properties likely leading to poor oral bioavailability and developability.",3.5,7.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11.4,0.35,-7.9,2.9808000000000012,23,7,2,0,0,0,50
